CódigodoMunicípio,Município,Estado,AnodeReferência,Tipodeserviço,Naturezajurídica,POP_TOTAL,POP_TOTAL_ESGOTO,POP_TOTAL_AGUA,REGIAO,DIF_AG_2011_2020,DIF_ES_2011_2020,INV_TOTAL,INV_TOTAL_AG,INV_TOTAL_ES,INV_TOTAL_PCP,INV_TOTAL_AG_PCP,INV_TOTAL_ES_PCP,latitude,longitude,COD_IBGE,IDHM,IDHM_RENDA,IDHM_EDUCACAO,IDHM_LONGEVIDADE
315850,Santana de Pirapama,MG,2020,Esgotos      ,Administração pública direta,7589.0,2800.0,,SE,,,1264217.9948750965,1159507.2065168046,0.0,,,,-189.962,-440.409,315850,0.628,0.816,0.493,0.617
315860,Santana do Deserto,MG,2020,Água         ,Sociedade de economia mista com administração pública,3981.0,,1467.0,SE,,,453765.80869597994,417190.5791913559,0.0,5.711024868123587,4.327005777442854,0.0,-219.512,-431.583,315860,0.651,0.849,0.493,0.66
315870,Santana do Garambéu,MG,2020,Água e Esgoto,Administração pública direta,2476.0,1831.0,2476.0,SE,0.6314996232102487,,0.0,0.0,0.0,,,,-215.983,-44.105,315870,0.667,0.822,0.558,0.648
315880,Santana do Jacaré,MG,2020,Água         ,Sociedade de economia mista com administração pública,4834.0,,4243.0,SE,-0.08332324275619618,,353876.5938600798,227022.7103007913,0.0,12.88773272652048,9.654995862639636,0.0,-209.007,-451.285,315880,0.647,0.79,0.523,0.655
315890,Santana do Manhuaçu,MG,2020,Esgotos      ,Administração pública direta,8667.0,5292.0,,SE,,,456402.58813811914,258547.44088524661,0.0,,,,-201.031,-419.278,315890,0.621,0.809,0.475,0.622
315890,Santana do Manhuaçu,MG,2020,Água         ,Sociedade de economia mista com administração pública,8667.0,,3297.0,SE,,,456402.58813811914,258547.44088524661,0.0,14.215186338986962,12.97017307026653,0.0,-201.031,-419.278,315890,0.621,0.809,0.475,0.622
315895,Santana do Paraíso,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,35369.0,30403.0,30403.0,SE,-0.06652737792886498,-0.06652737792886498,11003608.970526788,2029260.0173638046,7873128.704757607,107.11304645310865,12.951788854646725,91.30243687975346,-193.661,-425.446,315895,0.685,0.878,0.552,0.663
315900,Santana do Riacho,MG,2020,Água         ,Sociedade de economia mista com administração pública,4315.0,,1669.0,SE,-0.17958797823443384,,839609.5896316504,734876.4176146856,0.0,15.180639629200464,12.87569640787949,0.0,-191.662,-43.722,315900,0.665,0.834,0.551,0.641
315900,Santana do Riacho,MG,2020,Água         ,Administração pública direta,4315.0,,2646.0,SE,0.22641946697566628,,839609.5896316504,734876.4176146856,0.0,,,,-191.662,-43.722,315900,0.665,0.834,0.551,0.641
315910,Santana dos Montes,MG,2020,Água e Esgoto,Administração pública direta,3765.0,2800.0,3100.0,SE,0.21016344048295044,,0.0,0.0,0.0,,,,-207.868,-436.949,315910,0.647,0.801,0.557,0.608
