CódigodoMunicípio,Município,Estado,AnodeReferência,Naturezajurídica,POP_TOTAL,REGIAO,PERCENT_AG,PERCENT_ES,INVESTIMENTO_TOTAL_ATUAL2020_y,INVESTIMENTO_TOTAL_AG_ATUAL2020_y,INVESTIMENTO_TOTAL_ES_ATUAL2020_y,INVESTIMENTO_TOTAL_ATUAL2020_PCP,INVESTIMENTO_TOTAL_AG_ATUAL2020_PCP,INVESTIMENTO_TOTAL_ES_ATUAL2020_PCP
510622,Nova Mutum,MT,2020,Autarquia,46813.0,CO,1.0,,14377691.194598068,8633975.75598579,0.0,29.985688804391945,15.76470168542926,0.0
510623,Nova Olímpia,MT,2020,Administração pública direta,20563.0,CO,1.0,,0.0,0.0,0.0,,,
510625,Nova Xavantina,MT,2020,Empresa privada,20944.0,CO,0.8016138273491215,0.5992169595110771,4532015.652540527,1487445.6294333297,2340766.3212454626,15.113444423223834,10.183774828113064,4.929669595110772
510627,Novo Horizonte do Norte,MT,2020,Administração pública direta,4051.0,CO,0.5872624043446063,,0.0,0.0,0.0,,,
510628,Novo São Joaquim,MT,2020,Empresa privada,4938.0,CO,0.6152288375860673,0.45666261644390443,230747.1673483589,493029.63049079594,19962.13746961183,4.5026063183475085,3.084258809234508,1.4183475091130013
510629,Paranaíta,MT,2020,Administração pública direta,11244.0,CO,0.577997154037709,,0.0,0.0,0.0,,,
510630,Paranatinga,MT,2020,Empresa privada,22861.0,CO,0.7680328944490618,,15724515.454147752,12353917.712142859,1054174.7199837281,54.33302786404795,46.45457460303574,5.093987139670181
510631,Novo Santo Antônio,MT,2020,Administração pública direta,2705.0,CO,1.0,,0.0,0.0,0.0,,,
510637,Pedra Preta,MT,2020,Empresa privada,17446.0,CO,0.7225151897283045,0.4555772096755703,26984602.584827278,7342421.332489438,18682737.142683364,14.150247621231228,10.534822882035996,3.6154247391952308
510642,Peixoto de Azevedo,MT,2020,Empresa privada,35338.0,CO,0.6427358650744242,0.4784651083819118,34780433.93420544,7318103.761423672,25683790.065256525,44.2068014601845,37.890767728790536,0.1847189993774407
510650,Poconé,MT,2020,Empresa privada,33315.0,CO,0.7257091400270148,,11460989.986544266,9381051.27930857,42905.0817765251,9.849725048776827,9.849725048776827,0.0
510665,Pontal do Araguaia,MT,2020,Autarquia,6843.0,CO,1.0,,32590.473993,32590.473993,0.0,,,0.0
510670,Ponte Branca,MT,2020,Administração pública direta,1550.0,CO,0.9806451612903225,,0.0,0.0,0.0,,,
510675,Pontes e Lacerda,MT,2020,Empresa privada,45774.0,CO,0.8370909249792459,0.5406125748241359,18274992.72530272,9187151.800328534,4002821.682065045,80.97699611132957,38.009682789356404,15.581472451610082
510677,Porto Alegre do Norte,MT,2020,Empresa privada,12685.0,CO,0.4818289318092235,,120450.0,120450.0,0.0,9.495467087110761,9.495467087110761,0.0
510680,Porto dos Gaúchos,MT,2020,Empresa privada,5363.0,CO,1.0,,263799.11,199893.51,0.0,49.18872086518739,37.27270371060973,0.0
510682,Porto Esperidião,MT,2020,Empresa privada,12097.0,CO,0.38100355460031415,0.30602628750929983,9298692.622515084,862606.7553018022,7651999.711964543,9.42221790526577,6.451415226915764,2.9708026783500046
510685,Porto Estrela,MT,2020,Administração pública direta,2877.0,CO,0.518943343760862,,0.0,0.0,0.0,,,
510704,Primavera do Leste,MT,2020,Empresa privada,63092.0,CO,0.9463164902047804,0.8478095479617067,124195432.29185759,55618387.36419395,60966059.96050757,172.79924380270083,94.70970915488492,73.69057154631332
510706,Querência,MT,2020,Administração pública direta,17937.0,CO,1.0,,0.0,0.0,0.0,,,
